Type,Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Time
CALL,1275,N/A,0.0047,1103.4,1106.65,1109.9,unch,N/A,0,N/A,N/A,N/A
CALL,1300,N/A,0.0046,1079.8,1083.05,1086.3,unch,N/A,0,N/A,N/A,N/A
CALL,1325,1530,0.0045,1056.2,1059.5,1062.8,1530,N/A,0,47,47,17:10 ET
CALL,1350,N/A,0.0044,1032.8,1036.05,1039.3,unch,N/A,0,N/A,N/A,N/A
CALL,1375,1346.1,0.0043,1009.4,1012.65,1015.9,1346.1,N/A,0,54,27,11:46 ET
CALL,1400,1081.3,0.0042,986.1,989.3,992.5,15.85,0.0149,0,1,98,10:55 ET
CALL,1425,1298.65,0.0041,962.8,966.05,969.3,1298.65,N/A,0,88,44,11:46 ET
CALL,1450,1274.95,0.004,939.6,942.85,946.1,1274.95,N/A,0,46,23,11:46 ET
CALL,1475,783,0.0038,916.5,919.75,923,783,N/A,0,2,2,14:34 ET
CALL,1500,1143.55,0.0037,893.5,896.65,899.8,-1.7,-0.0015,0,10,106,11:34 ET
CALL,1525,1037.1,0.0036,870.6,873.8,877,1037.1,N/A,0,6,6,12:12 ET
CALL,1550,1102.19,0.0035,846.2,849.35,852.5,1102.19,N/A,0,1,1,13:43 ET
CALL,1575,N/A,0.0034,825.1,828.25,831.4,unch,N/A,0,N/A,N/A,N/A
CALL,1600,1313.1,0.0033,802.6,805.75,808.9,32.48,0.0254,0,1,35,15:57 ET
CALL,1625,830.45,0.0032,780,783.15,786.3,830.45,N/A,0,2,2,14:46 ET
CALL,1650,952.88,0.0031,756.2,759.3,762.4,952.88,N/A,0,26,13,13:13 ET
CALL,1675,1036.75,0.003,735.6,738.7,741.8,-25.9,-0.0244,0,1,1,09:56 ET
CALL,1700,698.95,0.0029,713.5,716.55,719.6,-518.24,-0.4258,0,3,15,12:21 ET
CALL,1725,954.3,0.0028,691.7,694.75,697.8,954.3,N/A,0,1,1,15:07 ET
CALL,1750,926.7,0.0027,670,673,676,96.7,0.1165,0,1,2,11:54 ET
CALL,1775,809,0.0026,648.4,651.4,654.4,-251.62,-0.2372,0.0122,10,11,12:12 ET
CALL,1800,608.8,0.0025,625.9,628.9,631.9,-257.95,-0.2976,0,100,104,10:10 ET
CALL,1825,1028.88,0.0024,605.9,608.85,611.8,-16.92,-0.0162,0.0698,1,1,11:24 ET
CALL,1850,850.11,0.0023,583.8,586.7,589.6,850.11,N/A,0.0857,2,1,11:44 ET
CALL,1875,799.7,0.0022,564.1,567,569.9,-83.8,-0.0949,0.107,1,10,14:46 ET
CALL,1900,526.05,0.0021,542.4,545.25,548.1,-278.88,-0.3465,0.0532,100,448,10:10 ET
CALL,1925,893.5,0.002,523.1,525.95,528.8,-53.96,-0.057,0.0915,1,11,10:59 ET
CALL,1950,491.9,0.0019,502.9,505.7,508.5,-6.85,-0.0137,0.1028,1,11,09:50 ET
CALL,1975,733.95,0.0018,481.6,484.4,487.2,74.55,0.1131,0.1296,20,22,16:16 ET
CALL,2000,441.53,0.0017,462,464.75,467.5,-1.7,-0.0038,0.0978,121,3816,10:41 ET
CALL,2025,592,0.0016,442.6,445.3,448,-156.69,-0.2093,0.151,15,48,12:12 ET
CALL,2050,414.6,0.0014,423.5,426.15,428.8,-7.05,-0.0167,0.1239,1,343,09:50 ET
CALL,2075,710.37,0.0013,406,408.65,411.3,-147.32,-0.1718,0.1639,12,35,13:16 ET
CALL,2100,372.3,0.0012,386.2,388.8,391.4,-25.02,-0.063,0.1291,100,2322,10:10 ET
CALL,2125,421.44,0.0011,368.1,370.65,373.2,421.44,N/A,0.167,1400,1400,15:00 ET
CALL,2150,803.5,0.001,350.6,353.05,355.5,4.87,0.0061,0.1693,284,284,12:48 ET
CALL,2175,326.3,0.0009,333.7,336.15,338.6,-218.9,-0.4015,0.1566,1,1,09:58 ET
CALL,2200,296.11,0.0008,315.3,317.65,320,-17.44,-0.0556,0.1386,59,32,10:44 ET
CALL,2225,297.5,0.0007,299.2,301.35,303.5,-227.9,-0.4338,0.172,800,1057,10:40 ET
CALL,2250,520,0.0006,283.2,285.25,287.3,-189.42,-0.267,0.1728,25,825,09:48 ET
CALL,2275,247.49,0.0005,266.3,268.6,270.9,-16.03,-0.0608,0.1455,1,201,10:40 ET
CALL,2300,247.6,0.0004,251.4,253.35,255.3,0.35,0.0014,0.1657,784,1272,12:30 ET
CALL,2325,217.81,0.0003,235.7,237.45,239.2,-267.69,-0.5514,0.1485,1,206,10:43 ET
CALL,2350,216,0.0002,220.5,222.15,223.8,-307.58,-0.5875,0.1705,4,884,12:22 ET
CALL,2375,198,0.0001,205.3,207,208.7,1.69,0.0086,0.159,1841,370,13:24 ET
CALL,2400,185.3,unch,191.9,193.45,195,5.7,0.0317,0.1598,2342,6256,13:26 ET
CALL,2425,165.63,-0.0001,178.6,180.1,181.6,-28.37,-0.1462,0.1524,297,1438,10:17 ET
CALL,2450,157.1,-0.0002,165.4,166.85,168.3,0.1,0.0006,0.1564,312,1849,10:08 ET
CALL,2475,194.5,-0.0003,153,154.15,155.3,-6.7,-0.0333,0.1655,40,1034,12:14 ET
CALL,2500,145.85,-0.0004,141.3,142.65,144,6.3,0.0451,0.1682,852,8165,12:53 ET
CALL,2525,110.35,-0.0005,129.5,130.75,132,-31.65,-0.2229,0.1416,371,1298,11:09 ET
CALL,2550,111.7,-0.0006,119,120.15,121.3,-3.8,-0.0329,0.1533,453,8194,11:55 ET
CALL,2575,107.95,-0.0007,108.6,109.8,111,-3.8,-0.034,0.159,737,3750,12:16 ET
CALL,2600,103,-0.0008,98,99.15,100.3,16.25,0.1873,0.163,635,10140,13:00 ET
CALL,2625,84.54,-0.0009,89.4,90.5,91.6,-10.16,-0.1073,0.1515,261,3290,09:49 ET
CALL,2650,76.76,-0.0011,80.9,81.9,82.9,-4.24,-0.0523,0.151,127,17686,09:49 ET
CALL,2675,69.13,-0.0012,72.2,73.6,75,-6.69,-0.0882,0.1501,262,5413,10:07 ET
CALL,2700,67.5,-0.0013,65.5,66.65,67.8,5.3,0.0852,0.1557,483,13105,12:26 ET
CALL,2725,51.63,-0.0014,58.9,60.05,61.2,-23.37,-0.3116,0.1433,14,7290,10:47 ET
CALL,2750,56.98,-0.0015,52.2,53.6,55,10.68,0.2307,0.157,205,15284,13:10 ET
CALL,2775,51.22,-0.0016,46.8,47.85,48.9,-4.02,-0.0728,0.1562,145,6879,13:10 ET
CALL,2800,42.9,-0.0017,41.7,42.65,43.6,2.67,0.0664,0.1512,2364,17985,13:30 ET
CALL,2825,38.1,-0.0018,37,38,39,-4.45,-0.1046,0.1503,647,7338,13:30 ET
CALL,2850,35,-0.0019,32.8,33.85,34.9,0.82,0.024,0.1514,1004,16605,12:52 ET
CALL,2875,27.96,-0.002,29.1,30.15,31.2,-2.54,-0.0833,0.1455,1153,7237,09:49 ET
CALL,2900,28,-0.0021,25.8,26.8,27.8,-0.03,-0.0011,0.1509,1845,31036,13:23 ET
CALL,2925,24.2,-0.0022,22.8,23.75,24.7,3.5,0.1691,0.1492,184,6145,12:25 ET
CALL,2950,16.5,-0.0023,20.3,21.25,22.2,-4.9,-0.229,0.1384,408,8577,11:11 ET
CALL,2975,19.7,-0.0024,18,18.9,19.8,2.5,0.1453,0.1501,2,3553,13:08 ET
CALL,3000,17.2,-0.0025,16.1,16.85,17.6,1.87,0.122,0.1493,394,21688,12:27 ET
CALL,3025,12.33,-0.0026,14.2,15,15.8,-3.57,-0.2245,0.1416,398,1854,10:57 ET
CALL,3050,11.75,-0.0027,12.7,13.45,14.2,-2.55,-0.1783,0.1442,430,7194,11:49 ET
CALL,3075,9.88,-0.0028,11.3,12,12.7,-4.27,-0.3018,0.1428,672,4111,10:57 ET
CALL,3100,11,-0.0029,10.1,10.75,11.4,-0.14,-0.0126,0.1502,930,21198,12:27 ET
CALL,3125,8.67,-0.003,9,9.6,10.2,-15.53,-0.6417,0.1466,246,1617,09:49 ET
CALL,3150,7.65,-0.0031,8,8.55,9.1,-6.75,-0.4688,0.1467,5,7229,11:55 ET
CALL,3175,21,-0.0032,7.1,7.6,8.1,-4.5,-0.1765,0.1502,2,1348,15:36 ET
CALL,3200,7.18,-0.0033,6.3,6.8,7.3,0.65,0.0995,0.1521,264,17490,13:10 ET
CALL,3225,6.47,-0.0035,5.6,6.05,6.5,-8.53,-0.5687,0.1527,174,515,13:10 ET
CALL,3250,4.3,-0.0036,5,5.5,6,-2.5,-0.3676,0.1453,502,23191,11:05 ET
CALL,3275,4.59,-0.0037,4.4,4.85,5.3,-0.41,-0.082,0.1502,176,191,09:49 ET
CALL,3300,4.5,-0.0038,4,4.4,4.8,-0.03,-0.0066,0.153,381,37124,12:27 ET
CALL,3350,3,-0.004,3,3.4,3.8,-1.4,-0.3182,0.1495,709,1860,11:23 ET
CALL,3400,2.4,-0.0042,2.3,2.7,3.1,-0.71,-0.2283,0.1505,854,12686,11:20 ET
CALL,3500,1.59,-0.0046,1.25,1.63,2,-0.47,-0.2282,0.1531,343,18560,09:49 ET
CALL,3600,0.97,-0.005,0.6,0.95,1.3,-0.83,-0.4611,0.1539,343,5701,09:49 ET
CALL,3700,0.72,-0.0054,0.2,0.58,0.95,-1.11,-0.6066,0.1582,751,2856,09:49 ET
CALL,3800,0.55,-0.0059,N/A,0.33,0.65,-0.69,-0.5565,0.1625,751,2950,09:49 ET
CALL,3900,0.3,-0.0063,N/A,0.25,0.5,-0.25,-0.4545,0.1612,5,218,11:19 ET
CALL,4000,0.25,-0.0067,0.05,0.25,0.45,-0.2,-0.4444,0.1663,9,1701,07:58 ET
CALL,4100,1,-0.0071,N/A,0.2,0.4,0.05,0.0526,0,3,175,14:48 ET
CALL,4200,0.1,-0.0075,N/A,0.1,0.2,-0.15,-0.6,0.1679,235,335,04:14 ET
PUT,100,0.05,0.0096,0.05,0.08,0.1,unch,unch,1.0051,530,15059,12:21 ET
PUT,200,0.05,0.0092,0.05,0.08,0.1,-0.05,-0.5,0.7791,420,2848,11:16 ET
PUT,300,0.15,0.0087,0.05,0.1,0.15,0.05,0.5,0.6878,400,3853,12/26/18
PUT,400,0.15,0.0083,0.05,0.13,0.2,unch,unch,0.5847,10,2196,11:53 ET
PUT,500,0.2,0.0079,0.15,0.18,0.2,unch,unch,0.5339,3,3310,13:08 ET
PUT,600,0.25,0.0075,0.25,0.33,0.4,-0.1,-0.2857,0.4949,36,736,11:00 ET
PUT,650,0.55,0.0073,0.2,0.35,0.5,0.1,0.2222,0.4708,10,1294,15:37 ET
PUT,700,0.55,0.0071,0.25,0.53,0.8,unch,unch,0.4631,10,5385,10:02 ET
PUT,750,0.7,0.0069,0.4,0.68,0.95,0.2,0.4,0.45,20,817,14:45 ET
PUT,800,1,0.0067,0.6,0.8,1,unch,unch,0.445,6,4950,11:25 ET
PUT,850,1.2,0.0065,0.85,1.1,1.35,-0.05,-0.04,0.4267,2,150,14:34 ET
PUT,900,1.1,0.0062,1.15,1.43,1.7,-0.05,-0.0435,0.4173,1,1110,15:36 ET
PUT,950,1.93,0.006,1.5,1.78,2.05,1.38,2.5091,0.407,2,719,15:03 ET
PUT,1000,3.3,0.0058,1.9,2.23,2.55,0.9,0.375,0.3978,22,5869,12:59 ET
PUT,1050,1.7,0.0056,2.5,2.85,3.2,-0.55,-0.2444,0.3905,9,438,13:41 ET
PUT,1100,4,0.0054,3.1,3.5,3.9,0.5,0.1429,0.3818,500,1283,14:26 ET
PUT,1150,4.06,0.0052,3.9,4.3,4.7,-0.84,-0.1714,0.3737,2,232,15:03 ET
PUT,1175,3.5,0.0051,4.4,4.85,5.3,-2,-0.3636,0.371,100,111,12:50 ET
PUT,1200,4.3,0.005,4.9,5.35,5.8,1.4,0.4828,0.3671,3,2812,15:56 ET
PUT,1225,2.75,0.0049,5.5,5.95,6.4,-0.15,-0.0517,0.3638,1,903,15:51 ET
PUT,1250,6.4,0.0048,6.1,6.55,7,1.4,0.28,0.3601,2,296,12:55 ET
PUT,1275,5.8,0.0047,6.7,7.2,7.7,1,0.2083,0.3565,3000,4363,11:02 ET
PUT,1300,9.9,0.0046,7.4,7.9,8.4,3.6,0.5714,0.3529,1,2545,13:12 ET
PUT,1325,5,0.0045,8.2,8.7,9.2,-0.1,-0.0196,0.3496,1,207,10:05 ET
PUT,1350,10.4,0.0044,9,9.55,10.1,4.3,0.7049,0.352,1,985,10:05 ET
PUT,1375,8.6,0.0043,10,10.55,11.1,3.5,0.6863,0.3436,3,65,11:16 ET
PUT,1400,11.7,0.0042,10.9,11.5,12.1,1.2,0.1143,0.3412,600,6171,12:46 ET
PUT,1425,6.1,0.0041,11.9,12.5,13.1,-4.9,-0.4455,0.3365,1,201,13:29 ET
PUT,1450,16.3,0.004,13,13.65,14.3,6.2,0.6139,0.3334,3,235,12:06 ET
PUT,1475,11.25,0.0038,14.3,14.95,15.6,1.1,0.1084,0.3306,1,46,14:59 ET
PUT,1500,18.43,0.0037,15.6,16.25,16.9,-1.67,-0.0831,0.3368,1,19701,11:36 ET
PUT,1525,19.6,0.0036,16.9,17.6,18.3,unch,unch,0.3322,1,682,10:42 ET
PUT,1550,19.35,0.0035,18.5,19.2,19.9,-1.75,-0.0829,0.3219,601,9118,12:46 ET
PUT,1575,21.1,0.0034,20.1,20.8,21.5,11.1,1.11,0.3182,1,13,14:39 ET
PUT,1600,28.7,0.0033,21.8,22.55,23.3,6.2,0.2756,0.3153,201,25646,13:29 ET
PUT,1625,24.55,0.0032,23.5,24.3,25.1,11.1,0.8253,0.312,2,544,14:46 ET
PUT,1650,28.2,0.0031,25.6,26.4,27.2,-3.8,-0.1188,0.315,2,2895,09:50 ET
PUT,1675,30.47,0.003,27.6,28.4,29.2,9.47,0.451,0.3063,1,407,15:47 ET
PUT,1700,34.43,0.0029,30,30.8,31.6,-2.87,-0.0769,0.3136,1,18609,11:36 ET
PUT,1725,37.2,0.0028,32.4,33.25,34.1,-0.8,-0.0211,0.3112,1000,1750,10:43 ET
PUT,1750,38.15,0.0027,35,35.85,36.7,-3.13,-0.0758,0.3041,3,3463,09:50 ET
PUT,1775,43.73,0.0026,37.6,38.5,39.4,-3.57,-0.0755,0.3076,250,4455,11:26 ET
PUT,1800,46,0.0025,40.6,41.45,42.3,2,0.0455,0.3029,260,18770,10:09 ET
PUT,1825,22.19,0.0024,43.7,44.6,45.5,2.58,0.1316,0.2903,1,2347,16:16 ET
PUT,1850,53.2,0.0023,46.9,47.85,48.8,-1.6,-0.0292,0.2984,135,6269,10:48 ET
PUT,1875,47,0.0022,50.4,51.35,52.3,16.95,0.5641,0.285,1501,4161,14:58 ET
PUT,1900,58,0.0021,53.9,54.9,55.9,-4.4,-0.0705,0.2879,4230,23555,13:24 ET
PUT,1925,65.9,0.002,58.1,59.15,60.2,20.99,0.4674,0.2802,180,1808,11:27 ET
PUT,1950,69.6,0.0019,62,63,64,11.1,0.1897,0.2771,75,4061,12:09 ET
PUT,1975,75,0.0018,66.4,67.4,68.4,17.09,0.2951,0.2746,282,4278,11:39 ET
PUT,2000,75,0.0017,71,72.05,73.1,-8.7,-0.1039,0.2769,525,28737,12:11 ET
PUT,2025,55.9,0.0016,75.8,76.9,78,3.2,0.0607,0.2697,83,1565,12:12 ET
PUT,2050,80.4,0.0014,80.9,82.05,83.2,-5.9,-0.0684,0.2648,13,8889,12:40 ET
PUT,2075,97.56,0.0013,86.2,87.45,88.7,10.41,0.1194,0.2648,50,2611,12:23 ET
PUT,2100,96.88,0.0012,92.1,93.3,94.5,-14.12,-0.1272,0.2676,1053,28408,12:42 ET
PUT,2125,111.73,0.0011,98.5,99.75,101,13.63,0.1389,0.2608,50,1990,12:26 ET
PUT,2150,120.79,0.001,104.9,106.2,107.5,1.65,0.0138,0.2777,717,24689,11:14 ET
PUT,2175,118.69,0.0009,111.5,112.8,114.1,-4.91,-0.0397,0.2638,144,1749,09:49 ET
PUT,2200,118.2,0.0008,118.4,119.75,121.1,-24.8,-0.1734,0.252,2200,27217,12:25 ET
PUT,2225,133.44,0.0007,124.8,126.15,127.5,-2.56,-0.0188,0.2594,469,2630,09:49 ET
PUT,2250,145,0.0006,132.7,134.15,135.6,-2,-0.0136,0.2616,705,9379,10:23 ET
PUT,2275,149.79,0.0005,141.5,142.9,144.3,-6.01,-0.0386,0.2554,325,7499,09:49 ET
PUT,2300,146.7,0.0004,149.3,150.75,152.2,-15.3,-0.0944,0.2398,604,32660,12:29 ET
PUT,2325,140,0.0003,158.3,159.75,161.2,-10.66,-0.0708,0.2426,50,5354,11:31 ET
PUT,2350,178.7,0.0002,167.2,168.7,170.2,-13.6,-0.0707,0.2513,5,11018,11:44 ET
PUT,2375,185,0.0001,177.8,179.35,180.9,-11.3,-0.0576,0.2455,1042,4045,13:26 ET
PUT,2400,184.05,unch,187.2,188.75,190.3,-26.25,-0.1248,0.2314,1599,19957,13:00 ET
PUT,2425,209.04,-0.0001,197.7,199.4,201.1,-17.18,-0.0759,0.2451,326,6119,09:49 ET
PUT,2450,236.34,-0.0002,208.9,210.6,212.3,3.71,0.0159,0.2606,17,9245,11:14 ET
PUT,2475,240,-0.0003,220.4,222.25,224.1,43,0.2183,0.2316,7,3442,12:42 ET
PUT,2500,230,-0.0004,233,234.9,236.8,-8.67,-0.0363,0.2254,168,45863,13:20 ET
PUT,2525,276.72,-0.0005,245.5,247.5,249.5,32.82,0.1346,0.2292,796,3793,13:15 ET
PUT,2550,276,-0.0006,258.3,260.45,262.6,25.4,0.1014,0.2276,384,25334,12:22 ET
PUT,2575,227,-0.0007,273.6,275.8,278,36.2,0.1897,0.2282,2317,10296,11:47 ET
PUT,2600,290,-0.0008,288.4,290.55,292.7,-10,-0.0333,0.2272,28,30077,12:16 ET
PUT,2625,299.72,-0.0009,303.3,305.7,308.1,49.21,0.1964,0.2209,2,8257,12:53 ET
PUT,2650,312.1,-0.0011,318.5,321.05,323.6,-11.4,-0.0352,0.217,2,19891,13:17 ET
PUT,2675,251.45,-0.0012,334.1,336.65,339.2,28.73,0.129,0.2259,10,10839,09:45 ET
PUT,2700,344.65,-0.0013,352.2,355,357.8,-30.35,-0.0809,0.2163,54,22687,13:17 ET
PUT,2725,246.55,-0.0014,368.4,371.25,374.1,37.55,0.1797,0.2268,200,8476,15:11 ET
PUT,2750,335.9,-0.0015,386.6,389.4,392.2,-11.8,-0.0339,0.2277,20,14807,10:19 ET
PUT,2775,418.01,-0.0016,405,407.95,410.9,78.16,0.23,0.2287,2,6751,10:30 ET
PUT,2800,415,-0.0017,425.4,428.45,431.5,-16.4,-0.038,0.2158,34,20292,13:01 ET
PUT,2825,377.45,-0.0018,443.5,446.6,449.7,-22.6,-0.0565,0.2314,50,5409,11:00 ET
PUT,2850,464.86,-0.0019,464,467.1,470.2,45.86,0.1095,0.2311,1,7097,12:34 ET
PUT,2875,518.26,-0.002,484,487.2,490.4,-10.19,-0.0193,0.2721,290,6197,10:40 ET
PUT,2900,539.64,-0.0021,506.4,509.65,512.9,-10.01,-0.0182,0.2755,290,11050,10:40 ET
PUT,2925,269.55,-0.0022,526.4,529.65,532.9,-30.4,-0.1014,0.2406,2,5934,14:50 ET
PUT,2950,463.86,-0.0023,549.5,552.75,556,59.41,0.1469,0.2452,1500,3035,10:44 ET
PUT,2975,393.4,-0.0024,570,573.3,576.6,136.45,0.531,0.2464,35,562,12:03 ET
PUT,3000,599.35,-0.0025,593.7,597,600.3,-9.92,-0.0163,0.2546,1,1591,12:19 ET
PUT,3025,335.08,-0.0026,614.8,618.1,621.4,-25.22,-0.07,0.2531,19,122,12:27 ET
PUT,3050,380.67,-0.0027,639,642.3,645.6,32.82,0.0944,0.2586,1,49,15:51 ET
PUT,3075,427.06,-0.0028,660.4,663.7,667,30.06,0.0757,0.2602,1,165,13:50 ET
PUT,3100,700.5,-0.0029,683.4,686.7,690,250.15,0.5555,0.2638,10,218,10:15 ET
PUT,3125,395.5,-0.003,706.6,709.9,713.2,-50.2,-0.1126,0.2676,1,182,12:25 ET
PUT,3150,581,-0.0031,731.4,734.7,738,145.5,0.3341,0.2735,2,82,15:30 ET
PUT,3175,283.1,-0.0032,753.3,756.6,759.9,-11.1,-0.0377,0.2753,78,137,12:52 ET
PUT,3200,806.05,-0.0033,778.3,781.65,785,-22.25,-0.0269,0.315,1,198,09:45 ET
PUT,3225,344.9,-0.0035,800.4,803.7,807,344.9,N/A,0.2831,7,7,12:53 ET
PUT,3250,469.2,-0.0036,825.6,828.9,832.2,155.2,0.4943,0.2893,2,89,16:20 ET
PUT,3275,N/A,-0.0037,847.8,851.1,854.4,unch,N/A,0.291,N/A,N/A,N/A
PUT,3300,662.15,-0.0038,872.8,876.1,879.4,52.5,0.0861,0.2968,1,62,12:18 ET
PUT,3350,853.58,-0.004,920.5,923.85,927.2,219.88,0.347,0.3049,2,2,16:09 ET
PUT,3400,998.1,-0.0042,968.4,971.75,975.1,-20.55,-0.0202,0.3513,12,138,09:45 ET
PUT,3500,714,-0.0046,1064.9,1068.25,1071.6,199.75,0.3884,0.3291,5,263,15:32 ET
PUT,3600,621.92,-0.005,1160,1163.35,1166.7,621.92,N/A,0.3423,1,1,14:04 ET
PUT,3700,N/A,-0.0054,1258.4,1261.8,1265.2,unch,N/A,0.3602,N/A,N/A,N/A
PUT,3800,N/A,-0.0059,1355.4,1358.8,1362.2,unch,N/A,0.375,N/A,N/A,N/A
PUT,3900,N/A,-0.0063,1452.5,1455.95,1459.4,unch,N/A,0.3895,N/A,N/A,N/A
PUT,4000,1275.5,-0.0067,1549.7,1553.15,1556.6,191.25,0.1764,0.4035,35,36,10:36 ET
PUT,4100,1123.15,-0.0071,1647,1650.45,1653.9,-77.95,-0.0649,0.4172,6,8,14:28 ET
PUT,4200,1764.41,-0.0075,1742.6,1746.1,1749.6,132.41,0.0811,0.4589,5,80,09:49 ET
